Model,Precision,Recall,F1-Score
GPT-3,0.5368421052631579,0.6144578313253012,0.5730337078651685
GPT-4o,0.6170212765957447,0.6987951807228916,0.655367231638418
GPT-4o-mini,0.5849056603773585,0.7469879518072289,0.656084656084656
